Filename, RCornea, LCornea, RUpEyelid, LUpEyelid, RLowEyelid, LLowEyelid
insightEBR_frame_1,3701,3765,15609,15368,5363,3231
insightEBR_frame_2,3993,1594,13046,10042,4855,3243
insightEBR_frame_3,4510,1651,13742,10860,0,3851
insightEBR_frame_4,4168,1608,14248,9386,0,3237
insightEBR_frame_5,4114,1955,14077,13248,3714,3482
insightEBR_frame_6,4177,844,12057,12628,3429,3174
insightEBR_frame_7,4343,1637,0,12463,1872,0
insightEBR_frame_8,1887,0,15776,0,3984,0
insightEBR_frame_9,2408,0,16164,17244,3497,0
insightEBR_frame_10,1798,1743,15824,17380,4300,0
insightEBR_frame_11,1863,1805,14836,14347,4108,0
insightEBR_frame_12,2053,2061,14561,14997,3011,0
insightEBR_frame_13,3862,1898,14130,14306,4359,0
insightEBR_frame_14,3978,1884,15756,17150,5152,2262
insightEBR_frame_15,2221,2224,11821,12737,2143,0
insightEBR_frame_16,4431,1931,15104,14642,4312,2613
insightEBR_frame_17,4395,1705,15883,13308,4094,1218
insightEBR_frame_18,4206,1948,16227,12355,4675,1544
insightEBR_frame_19,4041,2060,14798,12141,4323,1669
insightEBR_frame_20,4031,4128,0,15286,3796,0
insightEBR_frame_21,3992,1750,13897,13953,4277,1315
insightEBR_frame_22,1762,0,14596,12355,4349,0
insightEBR_frame_23,4403,1773,14925,12104,4430,1567
insightEBR_frame_24,4239,1658,14908,11741,5072,1696
insightEBR_frame_25,4362,1540,15558,10324,4271,1273
insightEBR_frame_26,4474,1801,15325,11116,4490,1532
insightEBR_frame_27,4277,1739,15933,16662,4169,4206
insightEBR_frame_28,4521,1980,14875,11734,4109,0
insightEBR_frame_29,4286,1925,0,16702,0,5165
insightEBR_frame_30,4090,1625,16608,12261,4377,1522
insightEBR_frame_31,2069,0,15821,12268,4359,0
insightEBR_frame_32,2921,1654,18229,13966,6217,0
insightEBR_frame_33,3477,1671,14230,12463,4762,0
insightEBR_frame_34,2073,2096,13365,12144,4968,0
insightEBR_frame_35,2325,2041,13511,12324,4760,0
insightEBR_frame_36,1375,1433,0,11214,1359,0
insightEBR_frame_37,0,713,16524,11798,0,0
insightEBR_frame_38,0,1328,0,10178,0,1353
insightEBR_frame_39,0,1421,0,10923,0,2374
insightEBR_frame_40,0,1536,0,11451,0,2114
insightEBR_frame_41,0,1004,0,12565,0,2807
insightEBR_frame_42,0,1279,0,16141,0,5063
insightEBR_frame_43,0,1448,0,16871,0,0
insightEBR_frame_44,0,1188,0,14929,0,3152
insightEBR_frame_45,0,3234,0,17114,0,1246
insightEBR_frame_46,0,3977,0,14998,0,1984
insightEBR_frame_47,0,908,0,13581,0,3752
insightEBR_frame_48,0,1438,0,16270,0,1745
insightEBR_frame_49,3219,1259,0,11867,0,2971
insightEBR_frame_50,0,1069,0,13323,0,3424
insightEBR_frame_51,0,1716,0,11831,0,2341
insightEBR_frame_52,0,1828,0,13247,4535,3690
insightEBR_frame_53,0,1127,0,11868,0,2713
insightEBR_frame_54,0,1855,0,12566,0,0
insightEBR_frame_55,0,1972,19674,13055,0,3193
insightEBR_frame_56,0,1637,0,13575,0,1469
insightEBR_frame_57,0,1876,0,17807,1896,2380
insightEBR_frame_58,0,1865,0,18033,0,2638
insightEBR_frame_59,0,1828,0,15258,0,1761
insightEBR_frame_60,0,2596,0,13885,0,3825
insightEBR_frame_61,3840,1954,13164,14733,0,4839
insightEBR_frame_62,4413,1824,13221,14865,0,4030
insightEBR_frame_63,4173,1037,13710,15073,0,3243
insightEBR_frame_64,4357,1700,13577,14999,0,3973
insightEBR_frame_65,0,3760,0,13410,0,3622
insightEBR_frame_66,0,1487,0,13421,0,3114
insightEBR_frame_67,0,1252,0,13436,0,2733
insightEBR_frame_68,0,752,0,13770,0,2618
insightEBR_frame_69,0,2982,0,16387,0,3912
insightEBR_frame_70,0,2677,16001,18062,0,2500
insightEBR_frame_71,0,2588,0,17314,3579,0
insightEBR_frame_72,0,2452,0,14755,6604,3766
insightEBR_frame_73,0,1674,0,12148,0,4195
insightEBR_frame_74,0,3207,0,20272,3566,3639
insightEBR_frame_75,0,3035,15232,14490,3903,0
insightEBR_frame_76,0,3015,15130,15225,3830,0
insightEBR_frame_77,4131,2841,15463,16082,3875,0
insightEBR_frame_78,4176,2964,14349,14855,2327,0
insightEBR_frame_79,4074,3028,15449,16135,2555,0
insightEBR_frame_80,3703,2770,13539,14082,3061,0
insightEBR_frame_81,3853,2553,13503,14127,4592,3696
insightEBR_frame_82,3615,2634,13621,9146,4054,4095
insightEBR_frame_83,2769,2380,13422,8675,5098,2928
insightEBR_frame_84,3737,2420,0,13679,4512,1405
insightEBR_frame_85,3982,4052,0,12100,4203,3626
insightEBR_frame_86,0,3418,0,11705,0,3524
insightEBR_frame_87,0,1861,0,12466,4665,5169
insightEBR_frame_88,3472,1500,11315,12467,1117,2948
insightEBR_frame_89,0,1705,0,12610,4151,3417
insightEBR_frame_90,2146,2528,11143,13876,2652,0
insightEBR_frame_91,3152,0,11224,12026,4314,0
insightEBR_frame_92,3875,0,14494,12700,3109,0
insightEBR_frame_93,1825,3375,15248,15860,3696,0
insightEBR_frame_94,0,3419,0,14055,0,5310
insightEBR_frame_95,0,1782,0,10912,0,2713
insightEBR_frame_96,0,947,0,11014,0,2969
insightEBR_frame_97,657,0,14075,13826,5030,0
insightEBR_frame_98,2058,0,11863,13334,0,4002
insightEBR_frame_99,0,942,0,13546,0,1437
insightEBR_frame_100,0,1121,0,10445,0,4944
insightEBR_frame_101,0,1064,0,7006,0,3602
insightEBR_frame_102,0,1874,0,18933,0,3769
insightEBR_frame_103,0,2125,0,13249,5405,6300
insightEBR_frame_104,0,1737,0,12267,0,3653
insightEBR_frame_105,1927,2055,0,17364,0,0
insightEBR_frame_106,4519,4648,11925,18084,9022,0
insightEBR_frame_107,2156,2210,0,9661,4521,0
insightEBR_frame_108,0,1594,0,9561,4076,0
insightEBR_frame_109,3230,3448,0,10070,0,0
insightEBR_frame_110,3630,0,15193,15565,2928,0
insightEBR_frame_111,3379,3335,0,16215,0,0
insightEBR_frame_112,2637,2762,14850,15444,4200,0
insightEBR_frame_113,2913,3059,20014,13692,3966,0
insightEBR_frame_114,4318,0,13744,14715,3801,0
insightEBR_frame_115,3174,0,18009,13522,4288,0
insightEBR_frame_116,3871,3160,17065,10671,0,0
insightEBR_frame_117,4312,2786,15359,12548,6394,3389
insightEBR_frame_118,4046,3088,16615,14944,1923,0
insightEBR_frame_119,3983,2877,17001,15621,4184,2941
insightEBR_frame_120,3956,3130,15754,14236,3855,3700
insightEBR_frame_121,3852,3006,15150,16351,4825,0
insightEBR_frame_122,3514,3121,15477,16928,4003,3119
insightEBR_frame_123,3847,2232,16116,12097,5318,2263
insightEBR_frame_124,4225,2404,15059,14070,4839,2193
insightEBR_frame_125,3551,1627,15491,15735,4099,3331
insightEBR_frame_126,3480,2787,16642,18150,4375,4903
insightEBR_frame_127,3391,2921,17606,14157,4918,4835
insightEBR_frame_128,3201,2709,18418,12513,3966,0
insightEBR_frame_129,3447,2908,17173,13161,4348,1878
insightEBR_frame_130,3924,2925,16410,13764,7003,2354
insightEBR_frame_131,3314,3509,15247,15764,4956,1282
insightEBR_frame_132,3737,2796,16676,10123,6340,2444
insightEBR_frame_133,3856,3020,15565,15601,6139,0
insightEBR_frame_134,4049,3237,14897,12394,5616,0
insightEBR_frame_135,4380,0,16583,0,4912,0
insightEBR_frame_136,4290,3047,16256,17104,4510,0
insightEBR_frame_137,2809,0,16474,17763,4520,2681
insightEBR_frame_138,2727,2924,19390,10824,3494,2304
insightEBR_frame_139,3504,3180,17462,11517,3982,2795
